Fold	c	f_score
fold-1	19.2	0.303773584906
fold-2	19.2	0.234589041096
fold-0	19.3	0.284938941655
fold-1	19.3	0.303773584906
fold-2	19.3	0.234589041096
fold-0	19.4	0.284420289855
fold-1	19.4	0.303116147309
fold-2	19.4	0.234589041096
fold-0	19.5	0.286488929056
fold-1	19.5	0.303773584906
fold-2	19.5	0.234589041096
fold-0	19.6	0.284681427926
fold-1	19.6	0.305084745763
fold-2	19.6	0.234589041096
fold-0	19.7	0.285714285714
fold-1	19.7	0.304429783223
fold-2	19.7	0.234589041096
fold-0	19.8	0.284938941655
fold-1	19.8	0.30545112782
fold-2	19.8	0.234589041096
fold-0	19.9	0.284938941655
fold-1	19.9	0.304797742239
fold-2	19.9	0.234589041096
fold-0	20.0	0.284810126582
fold-1	20.0	0.304429783223
fold-2	20.0	0.234589041096
fold-0	20.1	0.286230248307
fold-1	20.1	0.305084745763
fold-2	20.1	0.234589041096
fold-0	20.2	0.284681427926
fold-1	20.2	0.304429783223
fold-2	20.2	0.234589041096
fold-0	20.3	0.286230248307
fold-1	20.3	0.305228450306
fold-2	20.3	0.234589041096
fold-0	20.4	0.286230248307
fold-1	20.4	0.303630363036
fold-2	20.4	0.234589041096
fold-0	20.5	0.285456187895
fold-1	20.5	0.305084745763
fold-2	20.5	0.234589041096
fold-0	20.6	0.284938941655
fold-1	20.6	0.304429783223
fold-2	20.6	0.234589041096
fold-0	20.7	0.284938941655
fold-1	20.7	0.305084745763
fold-2	20.7	0.234589041096
fold-0	20.8	0.284938941655
fold-1	20.8	0.305084745763
fold-2	20.8	0.234589041096
fold-0	20.9	0.284938941655
fold-1	20.9	0.304429783223
fold-2	20.9	0.234589041096
fold-0	21.0	0.285456187895
fold-1	21.0	0.305084745763
fold-2	21.0	0.234589041096
fold-0	21.1	0.284810126582
fold-1	21.1	0.305084745763
fold-2	21.1	0.234589041096
fold-0	21.2	0.284938941655
fold-1	21.2	0.305084745763
fold-2	21.2	0.234589041096
fold-0	21.3	0.284938941655
fold-1	21.3	0.305084745763
fold-2	21.3	0.234589041096
fold-0	21.4	0.285456187895
fold-1	21.4	0.305084745763
fold-2	21.4	0.234589041096
fold-0	21.5	0.286488929056
fold-1	21.5	0.305084745763
fold-2	21.5	0.234589041096
fold-0	21.6	0.284938941655
fold-1	21.6	0.305084745763
fold-2	21.6	0.234589041096
fold-0	21.7	0.284938941655
fold-1	21.7	0.305084745763
fold-2	21.7	0.234589041096
fold-0	21.8	0.285714285714
fold-1	21.8	0.305084745763
fold-2	21.8	0.234589041096
fold-0	21.9	0.285456187895
fold-1	21.9	0.305084745763
fold-2	21.9	0.234589041096
fold-0	22.0	0.286618444846
fold-1	22.0	0.305084745763
fold-2	22.0	0.234589041096
fold-0	22.1	0.285585178491
fold-1	22.1	0.305084745763
fold-2	22.1	0.234589041096
fold-0	22.2	0.286101083032
fold-1	22.2	0.305084745763
fold-2	22.2	0.234589041096
fold-0	22.3	0.286230248307
fold-1	22.3	0.305084745763
fold-2	22.3	0.234589041096
fold-0	22.4	0.286874154263
fold-1	22.4	0.305084745763
fold-2	22.4	0.234589041096
fold-0	22.5	0.286874154263
fold-1	22.5	0.305084745763
fold-2	22.5	0.234589041096
fold-0	22.6	0.28532731377
fold-1	22.6	0.305084745763
fold-2	22.6	0.234589041096
fold-0	22.7	0.286874154263
fold-1	22.7	0.304286387188
fold-2	22.7	0.234589041096
fold-0	22.8	0.286359530262
fold-1	22.8	0.305084745763
fold-2	22.8	0.234589041096
fold-0	22.9	0.286359530262
fold-1	22.9	0.305084745763
fold-2	22.9	0.234589041096
fold-0	23.0	0.28532731377
fold-1	23.0	0.305084745763
fold-2	23.0	0.234589041096
fold-0	23.1	0.286101083032
fold-1	23.1	0.305084745763
fold-2	23.1	0.234589041096
fold-0	23.2	0.285585178491
fold-1	23.2	0.305084745763
fold-2	23.2	0.234589041096
fold-0	23.3	0.286359530262
fold-1	23.3	0.305084745763
fold-2	23.3	0.234589041096
fold-0	23.4	0.285585178491
fold-1	23.4	0.305084745763
fold-2	23.4	0.234589041096
fold-0	23.5	0.286359530262
fold-1	23.5	0.305084745763
fold-2	23.5	0.234589041096
fold-0	23.6	0.28532731377
fold-1	23.6	0.305084745763
fold-2	23.6	0.234589041096
fold-0	23.7	0.286101083032
fold-1	23.7	0.305084745763
fold-2	23.7	0.233832976445
fold-0	23.8	0.284681427926
fold-1	23.8	0.305594734368
fold-2	23.8	0.234589041096
fold-0	23.9	0.286359530262
fold-1	23.9	0.305084745763
fold-2	23.9	0.234589041096
fold-0	24.0	0.287133182844
fold-1	24.0	0.305084745763
fold-2	24.0	0.234589041096
fold-0	24.1	0.285585178491
fold-1	24.1	0.305738476011
fold-2	24.1	0.234589041096
fold-0	24.2	0.287133182844
fold-1	24.2	0.304429783223
fold-2	24.2	0.234589041096
fold-0	24.3	0.285585178491
fold-1	24.3	0.305882352941
fold-2	24.3	0.234589041096
fold-0	24.4	0.285585178491
fold-1	24.4	0.303630363036
fold-2	24.4	0.234589041096
fold-0	24.5	0.287133182844
fold-1	24.5	0.304286387188
fold-2	24.5	0.234589041096
fold-0	24.6	0.285585178491
fold-1	24.6	0.305084745763
fold-2	24.6	0.234589041096
fold-0	24.7	0.286359530262
fold-1	24.7	0.305738476011
fold-2	24.7	0.234589041096
fold-0	24.8	0.287262872629
fold-1	24.8	0.305882352941
fold-2	24.8	0.234589041096
fold-0	24.9	0.28532731377
